datum;nkp;rlm;slp
2016-08-26 00:00:00,000;567904,074672;344476,96854912;223427,10612288
2016-08-27 00:00:00,000;488705,768232;284675,88785328;204029,88037872
2016-08-28 00:00:00,000;498453,242496;294290,3190612;204162,9234348
2016-08-29 00:00:00,000;639633,911664;399606,71532144;240027,19634256
2016-08-30 00:00:00,000;630385,607544;388739,17997112;241646,42757288
2016-08-31 00:00:00,000;741432,256488;496450,77909768;244981,47739032
2016-09-01 00:00:00,000;706104,85908;487700,6330896;218404,2259904
2016-09-02 00:00:00,000;756863,02432;547708,960448;209154,063872
2016-09-03 00:00:00,000;741237,0302;545962,5587112;195274,4714888
2016-09-04 00:00:00,000;913063,98924;684489,4924832;228574,4967568
2016-09-05 00:00:00,000;2502527,61944;2250216,6221912;252310,9972488
2016-09-06 00:00:00,000;2436470,36424;2186718,4513008;249751,9129392
2016-09-07 00:00:00,000;1316651,88028;1073648,0986028;243003,7816772
2016-09-08 00:00:00,000;1867615,33552;1652381,2857756;215234,0497444
2016-09-09 00:00:00,000;2142559,70684;1922740,9071796;219818,7996604
2016-09-10 00:00:00,000;2055524,13812;1852192,2195784;203331,9185416
2016-09-11 00:00:00,000;2041803,98716;1833589,743524;208214,243636
2016-09-12 00:00:00,000;2199337,35292;1997875,17005;201462,18287
2016-09-13 00:00:00,000;616969,48976;422904,9530168;194064,5367432
2016-09-14 00:00:00,000;711891,19984;515066,0925704;196825,1072696
2016-09-15 00:00:00,000;792151,15044;592306,54407;199844,60637
2016-09-16 00:00:00,000;1972940,77836;1762702,9186192;210237,8597408
2016-09-17 00:00:00,000;1861920,11744;1635143,6536972;226776,4637428
2016-09-18 00:00:00,000;1876696,73848;1615005,6985524;261691,0399276
2016-09-19 00:00:00,000;2181386,60084;1901384,5634604;280002,0373796
2016-09-20 00:00:00,000;863747,8598;551860,7008288;311887,1589712
2016-09-21 00:00:00,000;1013325,1152;718109,8368448;295215,2783552
2016-09-22 00:00:00,000;1046629,69604;731735,2053808;314894,4906592
2016-09-23 00:00:00,000;2259472,91528;1953934,4314588;305538,4838212
2016-09-24 00:00:00,000;2534264,72608;2220527,0747668;313737,6513132
2016-09-25 00:00:00,000;2317284,02316;1987986,6032448;329297,4199152
2016-09-26 00:00:00,000;2494058,07712;2161564,1383328;332493,9387872
2016-09-27 00:00:00,000;1019835,06468;687948,248086;331886,816594
2016-09-28 00:00:00,000;979385,41816;646367,2497068;333018,1684532
2016-09-29 00:00:00,000;1189532,853;911487,7567196;278045,0962804
2016-09-30 00:00:00,000;2452959,6578;2135767,66708;317191,99072
2016-10-01 00:00:00,000;2369357,236844;1936247,95852319;433109,27832081
2016-10-02 00:00:00,000;2385861,144485;1911661,48547413;474199,65901087
2016-10-03 00:00:00,000;2617755,618012;2094218,12145831;523537,49655369
2016-10-04 00:00:00,000;1519859,265474;946368,94530766;573490,32016634
2016-10-05 00:00:00,000;2061000,055311;1238366,84827662;822633,20703438
2016-10-06 00:00:00,000;2241107,554648;1366429,15948189;874678,39516611
2016-10-07 00:00:00,000;3409950,290471;2546216,25783123;863734,03263977
2016-10-08 00:00:00,000;3470807,9889;2546640,19405424;924167,79484576
2016-10-09 00:00:00,000;3374643,722215;2314794,80058225;1059848,92163275
2016-10-10 00:00:00,000;3969755,849978;2926583,85224245;1043171,99773555
2016-10-11 00:00:00,000;2504723,949867;1375783,07816414;1128940,87170286
2016-10-12 00:00:00,000;2824311,625351;1583235,29669254;1241076,32865846
2016-10-13 00:00:00,000;3028631,19809;1722904,92925486;1305726,26883514
2016-10-14 00:00:00,000;4109019,781142;2887868,24438431;1221151,53675769
